Date,Open,High,Low,Close,Adj Close,Volume
31-12-04,4.635,4.642857,4.573571,4.6,3.114,69647200
03-01-05,4.627143,4.650714,4.471428,4.520714,3.060327,172998000
04-01-05,4.556428,4.676429,4.497857,4.567143,3.091757,274202600
05-01-05,4.604286,4.660714,4.575,4.607143,3.118836,170108400
06-01-05,4.619286,4.636428,4.523571,4.610714,3.121253,176388800
07-01-05,4.642857,4.973571,4.625,4.946429,3.348517,556862600
10-01-05,4.987857,5.05,4.848571,4.925714,3.334495,431327400
11-01-05,4.875,4.939286,4.581429,4.611429,3.121737,652906800
12-01-05,4.675,4.707143,4.521429,4.675714,3.165255,479925600
